Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
5 Seconds Of Summer,Youngblood,66,49,5,2018-07-14
"YG, 2 Chainz, Big Sean, Nicki Minaj",Big Bank,67,56,5,2018-07-14
XXXTENTACION,Jocelyn Flores,68,19,19,2018-07-14
Jake Owen,I Was Jack,69,69,6,2018-07-14
"Jason Aldean, Miranda Lambert",Drowns The Whiskey,70,70,3,2018-07-14
"Halsey, Big Sean, Stefflon Don",Alone,71,69,12,2018-07-14
"Lil Dicky, Chris Brown",Freaky Friday,72,8,16,2018-07-14
"David Lee Murphy, Kenny Chesney",Everything's Gonna Be Alright,73,66,11,2018-07-14
"Post Malone, Nicki Minaj",Ball For Me,74,16,10,2018-07-14
Thomas Rhett,Life Changes,75,75,2,2018-07-14
Morgan Evans,Kiss Somebody,76,,,2018-07-14
J. Cole,KOD,77,10,11,2018-07-14
"Charlie Puth, Kehlani",Done For Me,78,53,9,2018-07-14
"Chris Lane, Tori Kelly",Take Back Home Girl,79,79,5,2018-07-14
"Keith Urban, Julia Michaels",Coming Home,80,80,2,2018-07-14
"Nicki Minaj, Ariana Grande",Bed,81,43,3,2018-07-14
Li,Chun,82,10,13,2018-07-14
Kanye West,All Mine,83,11,5,2018-07-14
Backstreet Boys,Don't Go Breaking My Heart,84,84,2,2018-07-14
Queen Naija,Medicine,85,45,5,2018-07-14
Luke Bryan,"Sunrise, Sunburn, Sunset",86,,,2018-07-14
Carrie Underwood,Cry Pretty,87,48,4,2018-07-14
Lil Pump,Esskeetit,88,24,12,2018-07-14
Becky G + Natti Natasha,Sin Pijama,89,83,4,2018-07-14
The Weeknd,Call Out My Name,90,4,14,2018-07-14
XXXTENTACION,Everybody Dies In Their Nightmares,91,42,7,2018-07-14
Kanye West,Yikes,92,8,5,2018-07-14
Old Dominion,Hotel Key,93,,,2018-07-14
Sam Hunt,Downtown's Dead,94,94,2,2018-07-14
Bad Wolves,Zombie,95,54,17,2018-07-14
Famous Dex,Japan,96,28,15,2018-07-14
"Reik, Ozuna, Wisin",Me Niego,97,77,3,2018-07-14
XXXTENTACION,The Remedy For A Broke Heart,98,55,5,2018-07-14
Alessia Cara,Growing Pains,99,,,2018-07-14
Blake Shelton,I Lived It,100,63,18,2018-07-14
"Cardi B, Bad Bunny, J Balvin",I Like It,1,1,2,2018-07-07
Juice WRLD,Lucid Dreams,3,3,7,2018-07-07
"Maroon 5, Cardi B",Girls Like You,4,4,5,2018-07-07
"Post Malone, Ty Dolla $ign",Psycho,5,1,18,2018-07-07
Drake,Nice For What,6,1,12,2018-07-07
Ella Mai,Boo'd Up,7,6,13,2018-07-07
Ariana Grande,No Tears Left To Cry,8,3,10,2018-07-07
Drake,God's Plan,9,1,23,2018-07-07
"Bebe Rexha, Florida Georgia Line",Meant To Be,10,2,36,2018-07-07
"Lil Baby, Drake",Yes Indeed,11,6,7,2018-07-07
"Zedd, Maren Morris, Grey",The Middle,12,5,22,2018-07-07
XXXTENTACION,Moonlight,13,13,11,2018-07-07
Post Malone,Better Now,14,7,9,2018-07-07
Rich The Kid,Plug Walk,15,13,20,2018-07-07
Bazzi,Mine,16,11,23,2018-07-07
Ed Sheeran,Perfect,17,1,44,2018-07-07
XXXTENTACION,Changes,18,18,11,2018-07-07
The Carters,Apes**t,19,13,2,2018-07-07
Taylor Swift,Delicate,20,20,16,2018-07-07
Dan + Shay,Tequila,21,21,16,2018-07-07
"Marshmello, Anne",Friends,22,11,20,2018-07-07
Shawn Mendes,In My Blood,23,11,15,2018-07-07
Childish Gambino,This Is America,24,1,8,2018-07-07
XXXTENTACION,Jocelyn Flores,25,19,18,2018-07-07
Drake,I'm Upset,26,15,5,2018-07-07
"BlocBoy JB, Drake",Look Alive,27,5,20,2018-07-07
Camila Cabello,Never Be The Same,28,6,28,2018-07-07
"Migos, Drake",Walk It Talk It,29,10,22,2018-07-07
"Tyga, Offset",Taste,30,30,5,2018-07-07
Imagine Dragons,Whatever It Takes,31,12,22,2018-07-07
Cardi B,Be Careful,32,11,13,2018-07-07
"Post Malone, 21 Savage",Rockstar,33,1,41,2018-07-07
"XXXTENTACION, Trippie Redd",F**k Love,34,28,21,2018-07-07
Selena Gomez,Back To You,35,22,7,2018-07-07
"Calvin Harris, Dua Lipa",One Kiss,36,30,12,2018-07-07
"Khalid, Normani",Love Lies,37,34,19,2018-07-07
Kane Brown,Heaven,38,15,27,2018-07-07
"Camila Cabello, Young Thug",Havana,39,1,46,2018-07-07
Dua Lipa,New Rules,40,6,48,2018-07-07
Lauv,I Like Me Better,41,41,20,2018-07-07
Juice WRLD,All Girls Are The Same,42,41,7,2018-07-07
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna, Bad Bunny",Te Bote,43,36,10,2018-07-07
Kenny Chesney,Get Along,44,44,12,2018-07-07
Florida Georgia Line,Simple,45,45,4,2018-07-07
XXXTENTACION,Everybody Dies In Their Nightmares,46,42,6,2018-07-07
"Lil Dicky, Chris Brown",Freaky Friday,47,8,15,2018-07-07
Brett Young,Mercy,48,48,8,2018-07-07
Luke Combs,One Number Away,49,34,15,2018-07-07
Maroon 5,Wait,50,24,24,2018-07-07
Foster The People,Sit Next To Me,51,51,15,2018-07-07
5 Seconds Of Summer,Youngblood,52,49,4,2018-07-07
"Morgan Wallen, Florida Georgia Line",Up Down,53,49,14,2018-07-07
Kanye West,All Mine,54,11,4,2018-07-07
XXXTENTACION,The Remedy For A Broke Heart,55,55,4,2018-07-07
"YG, 2 Chainz, Big Sean, Nicki Minaj",Big Bank,56,56,4,2018-07-07
Daddy Yankee,Dura,57,43,21,2018-07-07
Demi Lovato,Sober,58,,,2018-07-07
"Post Malone, Nicki Minaj",Ball For Me,59,16,9,2018-07-07
"2 Chainz, Drake, Quavo",Bigger > You,60,53,2,2018-07-07
Panic! At The Disco,Say Amen,61,60,3,2018-07-07
Li,Chun,62,10,12,2018-07-07
Famous Dex,Japan,63,28,14,2018-07-07
"Nicky Jam, J Balvin",X,64,41,17,2018-07-07
Juice WRLD,Legends,65,,,2018-07-07
"David Lee Murphy, Kenny Chesney",Everything's Gonna Be Alright,66,66,10,2018-07-07
"Nicki Minaj, Ariana Grande",Bed,67,43,2,2018-07-07
J. Cole,KOD,68,10,10,2018-07-07
"Halsey, Big Sean, Stefflon Don",Alone,69,69,11,2018-07-07
XXXTENTACION,Hope,70,70,2,2018-07-07
Lil Pump,Esskeetit,71,24,11,2018-07-07
"6ix9ine, DJ SPINKING",TATI,72,46,5,2018-07-07
"Jason Aldean, Miranda Lambert",Drowns The Whiskey,73,73,2,2018-07-07
"Charlie Puth, Kehlani",Done For Me,74,53,8,2018-07-07
Jake Owen,I Was Jack,75,75,5,2018-07-07
BTS,Fake Love,76,10,6,2018-07-07
Kanye West,Yikes,77,8,4,2018-07-07
The Weeknd,Call Out My Name,78,4,13,2018-07-07
"Lil Skies, Yung Pinch",I Know You,79,79,3,2018-07-07
XXXTENTACION,Numb,80,80,3,2018-07-07
Queen Naija,Medicine,81,45,4,2018-07-07
"A$AP Rocky, Skepta",Praise The Lord,82,45,5,2018-07-07
Becky G + Natti Natasha,Sin Pijama,83,83,3,2018-07-07
Panic! At The Disco,High Hopes,84,84,2,2018-07-07
Blake Shelton,I Lived It,85,63,17,2018-07-07
"Rae Sremmurd, Juicy J",Powerglide,86,28,17,2018-07-07
"Billie Eilish, Khalid",Lovely,87,78,5,2018-07-07
"Keith Urban, Julia Michaels",Coming Home,88,,,2018-07-07
"Lil Baby, Gunna, Lil Uzi Vert",Life Goes On,89,74,6,2018-07-07
Bad Wolves,Zombie,90,54,16,2018-07-07
YoungBoy Never Broke Again,Overdose,91,42,9,2018-07-07
Thomas Rhett,Life Changes,92,,,2018-07-07
Dierks Bentley,"Woman, Amen",93,53,12,2018-07-07
"Kygo, Imagine Dragons",Born To Be Yours,94,74,2,2018-07-07
"Ariana Grande, Nicki Minaj",The Light Is Coming,95,,,2018-07-07
"Khalid, Ty Dolla $ign, 6LACK",OTW,96,57,10,2018-07-07
"Clean Bandit, Demi Lovato",Solo,97,,,2018-07-07
"Chris Lane, Tori Kelly",Take Back Home Girl,98,92,4,2018-07-07
The Carters,Boss,99,77,2,2018-07-07
"Jhene Aiko, Swae Lee Or Rae Sremmurd",Sativa,100,74,16,2018-07-07
XXXTENTACION,Sad!,1,1,6,2018-06-30
Drake,Nice For What,3,1,11,2018-06-30
Juice WRLD,Lucid Dreams,4,4,6,2018-06-30
"Maroon 5, Cardi B",Girls Like You,5,4,4,2018-06-30
"Post Malone, Ty Dolla $ign",Psycho,6,1,17,2018-06-30
Ella Mai,Boo'd Up,7,6,12,2018-06-30
Drake,God's Plan,8,1,22,2018-06-30
Ariana Grande,No Tears Left To Cry,9,3,9,2018-06-30
"Zedd, Maren Morris, Grey",The Middle,10,5,21,2018-06-30
"Bebe Rexha, Florida Georgia Line",Meant To Be,11,2,35,2018-06-30
"Lil Baby, Drake",Yes Indeed,12,6,6,2018-06-30
The Carters,Apes**t,13,,,2018-06-30
"Marshmello, Anne",Friends,14,11,19,2018-06-30
Drake,I'm Upset,15,15,4,2018-06-30
XXXTENTACION,Moonlight,16,16,10,2018-06-30
Childish Gambino,This Is America,17,1,7,2018-06-30
XXXTENTACION,Changes,18,18,10,2018-06-30
XXXTENTACION,Jocelyn Flores,19,19,17,2018-06-30
Bazzi,Mine,20,11,22,2018-06-30
Ed Sheeran,Perfect,21,1,43,2018-06-30
Shawn Mendes,In My Blood,22,11,14,2018-06-30
Post Malone,Better Now,23,7,8,2018-06-30
"Migos, Drake",Walk It Talk It,24,10,21,2018-06-30
"BlocBoy JB, Drake",Look Alive,25,5,19,2018-06-30
Camila Cabello,Never Be The Same,26,6,27,2018-06-30
Taylor Swift,Delicate,27,25,15,2018-06-30
"XXXTENTACION, Trippie Redd",F**k Love,28,28,20,2018-06-30
Cardi B,Be Careful,29,11,12,2018-06-30
Imagine Dragons,Whatever It Takes,30,12,21,2018-06-30
"Post Malone, 21 Savage",Rockstar,31,1,40,2018-06-30
Rich The Kid,Plug Walk,32,13,19,2018-06-30
Selena Gomez,Back To You,33,22,6,2018-06-30
Dan + Shay,Tequila,34,32,15,2018-06-30
Kane Brown,Heaven,35,15,26,2018-06-30
"Khalid, Normani",Love Lies,36,34,18,2018-06-30
"Calvin Harris, Dua Lipa",One Kiss,37,30,11,2018-06-30
"Tyga, Offset",Taste,38,38,4,2018-06-30
"Camila Cabello, Young Thug",Havana,39,1,45,2018-06-30
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna, Bad Bunny",Te Bote,40,36,9,2018-06-30
Dua Lipa,New Rules,41,6,47,2018-06-30
XXXTENTACION,Everybody Dies In Their Nightmares,42,42,5,2018-06-30
"Nicki Minaj, Ariana Grande",Bed,43,,,2018-06-30
Maroon 5,Wait,44,24,23,2018-06-30
Juice WRLD,All Girls Are The Same,45,41,6,2018-06-30
"Lil Dicky, Chris Brown",Freaky Friday,46,8,14,2018-06-30
Lauv,I Like Me Better,47,46,19,2018-06-30
Kanye West,All Mine,48,11,3,2018-06-30
5 Seconds Of Summer,Youngblood,49,49,3,2018-06-30
Kenny Chesney,Get Along,50,48,11,2018-06-30
"Morgan Wallen, Florida Georgia Line",Up Down,51,49,13,2018-06-30
Li,Chun,52,10,11,2018-06-30
"2 Chainz, Drake, Quavo",Bigger > You,53,,,2018-06-30
Florida Georgia Line,Simple,54,54,3,2018-06-30
DU DDU,DDU,55,,,2018-06-30
Dua Lipa,IDGAF,56,49,23,2018-06-30
Luke Combs,One Number Away,57,34,14,2018-06-30
XXXTENTACION,The Remedy For A Broke Heart,58,58,3,2018-06-30
Foster The People,Sit Next To Me,59,56,14,2018-06-30
Brett Young,Mercy,60,60,7,2018-06-30
"The Weeknd, Kendrick Lamar",Pray For Me,61,7,20,2018-06-30
"Post Malone, Nicki Minaj",Ball For Me,62,16,8,2018-06-30
Blake Shelton,I Lived It,63,63,16,2018-06-30
Famous Dex,Japan,64,28,13,2018-06-30
BTS,Fake Love,65,10,5,2018-06-30
"Charlie Puth, Kehlani",Done For Me,66,53,7,2018-06-30
Kanye West,Yikes,67,8,3,2018-06-30
"6ix9ine, DJ SPINKING",TATI,68,46,4,2018-06-30
"Nicky Jam, J Balvin",X,69,41,16,2018-06-30
Daddy Yankee,Dura,70,43,20,2018-06-30
J. Cole,KOD,71,10,9,2018-06-30
"David Lee Murphy, Kenny Chesney",Everything's Gonna Be Alright,72,66,9,2018-06-30
The Weeknd,Call Out My Name,73,4,12,2018-06-30
"Kygo, Imagine Dragons",Born To Be Yours,74,,,2018-06-30
"Halsey, Big Sean, Stefflon Don",Alone,75,70,10,2018-06-30
Lil Pump,Esskeetit,76,24,10,2018-06-30
The Carters,Boss,77,,,2018-06-30
"Martin Garrix, Khalid",Ocean,78,,,2018-06-30
"A$AP Rocky, Skepta",Praise The Lord,79,45,4,2018-06-30
XXXTENTACION,Hope,80,,,2018-06-30
"Billie Eilish, Khalid",Lovely,81,78,4,2018-06-30
XXXTENTACION,Numb,82,82,2,2018-06-30
"Rae Sremmurd, Juicy J",Powerglide,83,28,16,2018-06-30
The Carters,Summer,84,,,2018-06-30
"Jason Aldean, Miranda Lambert",Drowns The Whiskey,85,,,2018-06-30
"Lil Baby, Gunna, Lil Uzi Vert",Life Goes On,86,74,5,2018-06-30
"Diplo, French Montana, Lil Pump, Zhavia Ward",Welcome To The Party,87,78,4,2018-06-30
Dierks Bentley,"Woman, Amen",88,53,11,2018-06-30
"El Chombo, Cutty Ranks",Dame Tu Cosita,89,36,9,2018-06-30
YoungBoy Never Broke Again,Overdose,90,42,8,2018-06-30
KIDS SEE GHOSTS,Reborn,91,39,2,2018-06-30
"Lil Skies, Yung Pinch",I Know You,92,90,2,2018-06-30
Bad Wolves,Zombie,93,54,15,2018-06-30
Jake Owen,I Was Jack,94,86,4,2018-06-30
The Carters,Nice,95,,,2018-06-30
"Nas, Kanye West",Cop Shot The Kid,96,,,2018-06-30
"Khalid, Ty Dolla $ign, 6LACK",OTW,97,57,9,2018-06-30
"Jhene Aiko, Swae Lee Or Rae Sremmurd",Sativa,98,74,15,2018-06-30
The Carters,Friends,99,,,2018-06-30
Queen Naija,Medicine,100,45,3,2018-06-30
Drake,Nice For What,1,1,0,2018-06-23
"Cardi B, Bad Bunny, J Balvin",I Like It,3,3,10,2018-06-23
Drake,God's Plan,4,1,21,2018-06-23
"Maroon 5, Cardi B",Girls Like You,5,4,3,2018-06-23
Juice WRLD,Lucid Dreams,6,6,5,2018-06-23
Ella Mai,Boo'd Up,7,6,11,2018-06-23
"Zedd, Maren Morris, Grey",The Middle,8,5,20,2018-06-23
Ariana Grande,No Tears Left To Cry,9,3,8,2018-06-23
"Bebe Rexha, Florida Georgia Line",Meant To Be,10,2,34,2018-06-23
"Lil Baby, Drake",Yes Indeed,11,6,5,2018-06-23
Childish Gambino,This Is America,12,1,6,2018-06-23
"Marshmello, Anne",Friends,13,11,18,2018-06-23
"Migos, Drake",Walk It Talk It,14,10,20,2018-06-23
Bazzi,Mine,15,11,21,2018-06-23
Shawn Mendes,In My Blood,16,11,13,2018-06-23
Ed Sheeran,Perfect,17,1,42,2018-06-23
"BlocBoy JB, Drake",Look Alive,18,5,18,2018-06-23
Camila Cabello,Never Be The Same,19,6,26,2018-06-23
Post Malone,Better Now,20,7,7,2018-06-23
Imagine Dragons,Whatever It Takes,21,12,20,2018-06-23
Selena Gomez,Back To You,22,22,5,2018-06-23
Cardi B,Be Careful,23,11,11,2018-06-23
"Post Malone, 21 Savage",Rockstar,24,1,39,2018-06-23
Taylor Swift,Delicate,25,25,14,2018-06-23
Kane Brown,Heaven,26,15,25,2018-06-23
"Camila Cabello, Young Thug",Havana,27,1,44,2018-06-23
Drake,I'm Upset,28,19,3,2018-06-23
Maroon 5,Wait,29,24,22,2018-06-23
"Calvin Harris, Dua Lipa",One Kiss,30,30,10,2018-06-23
Kanye West,All Mine,31,11,2,2018-06-23
Dan + Shay,Tequila,32,32,14,2018-06-23
Rich The Kid,Plug Walk,33,13,18,2018-06-23
"Khalid, Normani",Love Lies,34,34,17,2018-06-23
Dua Lipa,New Rules,35,6,46,2018-06-23
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna, Bad Bunny",Te Bote,36,36,8,2018-06-23
"Lil Dicky, Chris Brown",Freaky Friday,37,8,13,2018-06-23
"Tyga, Offset",Taste,38,38,3,2018-06-23
KIDS SEE GHOSTS,Reborn,39,,,2018-06-23
Kanye West,Yikes,40,8,2,2018-06-23
Juice WRLD,All Girls Are The Same,41,41,5,2018-06-23
"KIDS SEE GHOSTS, Louis Prima",4th Dimension,42,,,2018-06-23
Li,Chun,43,10,10,2018-06-23
"The Weeknd, Kendrick Lamar",Pray For Me,44,7,19,2018-06-23
Luke Combs,One Number Away,45,34,13,2018-06-23
Lauv,I Like Me Better,46,46,18,2018-06-23
KIDS SEE GHOSTS,Feel The Love,47,,,2018-06-23
Kenny Chesney,Get Along,48,48,10,2018-06-23
"Morgan Wallen, Florida Georgia Line",Up Down,49,49,12,2018-06-23
"6ix9ine, DJ SPINKING",TATI,50,46,3,2018-06-23
Dua Lipa,IDGAF,51,49,22,2018-06-23
XXXTENTACION,Sad!,52,7,15,2018-06-23
Dierks Bentley,"Woman, Amen",53,53,10,2018-06-23
The Weeknd,Call Out My Name,54,4,11,2018-06-23
"Charlie Puth, Kehlani",Done For Me,55,53,6,2018-06-23
Foster The People,Sit Next To Me,56,56,13,2018-06-23
Florida Georgia Line,Simple,57,55,2,2018-06-23
"Nicky Jam, J Balvin",X,58,41,15,2018-06-23
"Post Malone, Nicki Minaj",Ball For Me,59,16,7,2018-06-23
"Kanye West, PARTYNEXTDOOR",Ghost Town,60,16,2,2018-06-23
Jason Aldean,You Make It Easy,61,28,20,2018-06-23
KIDS SEE GHOSTS,Freeee,62,,,2018-06-23
Brett Young,Mercy,63,63,6,2018-06-23
Daddy Yankee,Dura,64,43,19,2018-06-23
J. Cole,KOD,65,10,8,2018-06-23
"David Lee Murphy, Kenny Chesney",Everything's Gonna Be Alright,66,66,8,2018-06-23
KIDS SEE GHOSTS,Fire,67,,,2018-06-23
Lil Pump,Esskeetit,68,24,9,2018-06-23
KIDS SEE GHOSTS,Cudi Montage,69,,,2018-06-23
"A$AP Rocky, Skepta",Praise The Lord,70,45,3,2018-06-23
BTS,Fake Love,71,10,4,2018-06-23
Famous Dex,Japan,72,28,12,2018-06-23
KIDS SEE GHOSTS,KIDS SEE GHOSTS,73,,,2018-06-23
"Halsey, Big Sean, Stefflon Don",Alone,74,70,9,2018-06-23
"Rae Sremmurd, Juicy J",Powerglide,75,28,15,2018-06-23
Blake Shelton,I Lived It,76,64,15,2018-06-23
YoungBoy Never Broke Again,Overdose,77,42,7,2018-06-23
"Billie Eilish, Khalid",Lovely,78,78,3,2018-06-23
5 Seconds Of Summer,Youngblood,79,79,2,2018-06-23
"El Chombo, Cutty Ranks",Dame Tu Cosita,80,36,8,2018-06-23
"Khalid, Ty Dolla $ign, 6LACK",OTW,81,57,8,2018-06-23
Bad Wolves,Zombie,82,54,14,2018-06-23
"Reik, Ozuna, Wisin",Me Niego,83,77,2,2018-06-23
Kane Brown,Lose It,84,,,2018-06-23
Kanye West,Violent Crimes,85,27,2,2018-06-23
Jake Owen,I Was Jack,86,86,3,2018-06-23
"Jhene Aiko, Swae Lee Or Rae Sremmurd",Sativa,87,74,14,2018-06-23
"Nicki Minaj, Lil Wayne",Rich Sex,88,,,2018-06-23
"Lil Baby, Gunna, Lil Uzi Vert",Life Goes On,89,74,4,2018-06-23
"Lil Skies, Yung Pinch",I Know You,90,,,2018-06-23
"Ozuna, Romeo Santos",El Farsante,91,49,20,2018-06-23
"Kanye West, PARTYNEXTDOOR",Wouldn't Leave,92,24,2,2018-06-23
Luke Combs,Beautiful Crazy,93,58,4,2018-06-23
Becky G + Natti Natasha,Sin Pijama,94,94,2,2018-06-23
"Sugarland, Taylor Swift",Babe,95,72,2,2018-06-23
"Cardi B, Migos",Drip,96,21,10,2018-06-23
"YG, 2 Chainz, Big Sean, Nicki Minaj",Big Bank,97,66,3,2018-06-23
Jordan Davis,Singles You Up,98,50,19,2018-06-23
"Chris Lane, Tori Kelly",Take Back Home Girl,99,92,3,2018-06-23
"Diplo, French Montana, Lil Pump, Zhavia Ward",Welcome To The Party,100,78,3,2018-06-23
"Post Malone, Ty Dolla $ign",Psycho,1,1,5,2018-06-16
"Cardi B, Bad Bunny, J Balvin",I Like It,3,3,9,2018-06-16
"Maroon 5, Cardi B",Girls Like You,4,4,2,2018-06-16
Drake,God's Plan,5,1,20,2018-06-16
Ella Mai,Boo'd Up,6,6,10,2018-06-16
Childish Gambino,This Is America,7,1,5,2018-06-16
Kanye West,Yikes,8,,,2018-06-16
Juice WRLD,Lucid Dreams,9,9,4,2018-06-16
"Zedd, Maren Morris, Grey",The Middle,10,5,19,2018-06-16
Kanye West,All Mine,11,,,2018-06-16
"Bebe Rexha, Florida Georgia Line",Meant To Be,12,2,33,2018-06-16
Ariana Grande,No Tears Left To Cry,13,3,7,2018-06-16
"Marshmello, Anne",Friends,14,11,17,2018-06-16
"Lil Baby, Drake",Yes Indeed,15,6,4,2018-06-16
"Kanye West, PARTYNEXTDOOR",Ghost Town,16,,,2018-06-16
"Migos, Drake",Walk It Talk It,17,10,19,2018-06-16
Camila Cabello,Never Be The Same,18,6,25,2018-06-16
"BlocBoy JB, Drake",Look Alive,19,5,17,2018-06-16
Shawn Mendes,In My Blood,20,11,12,2018-06-16
Ed Sheeran,Perfect,21,1,41,2018-06-16
Imagine Dragons,Whatever It Takes,22,12,19,2018-06-16
Bazzi,Mine,23,11,20,2018-06-16
"Kanye West, PARTYNEXTDOOR",Wouldn't Leave,24,,,2018-06-16
Cardi B,Be Careful,25,11,10,2018-06-16
Maroon 5,Wait,26,24,21,2018-06-16
Kanye West,Violent Crimes,27,,,2018-06-16
Kanye West,I Thought About Killing You,28,,,2018-06-16
"Post Malone, 21 Savage",Rockstar,29,1,38,2018-06-16
Kane Brown,Heaven,30,15,24,2018-06-16
Selena Gomez,Back To You,31,31,4,2018-06-16
Drake,I'm Upset,32,19,2,2018-06-16
"Camila Cabello, Young Thug",Havana,33,1,43,2018-06-16
Post Malone,Better Now,34,7,6,2018-06-16
Rich The Kid,Plug Walk,35,13,17,2018-06-16
Kanye West,No Mistakes,36,,,2018-06-16
Taylor Swift,Delicate,37,28,13,2018-06-16
"Calvin Harris, Dua Lipa",One Kiss,38,32,9,2018-06-16
"Lil Dicky, Chris Brown",Freaky Friday,39,8,12,2018-06-16
Dua Lipa,New Rules,40,6,45,2018-06-16
Dan + Shay,Tequila,41,37,13,2018-06-16
"Khalid, Normani",Love Lies,42,35,16,2018-06-16
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna, Bad Bunny",Te Bote,43,36,7,2018-06-16
"The Weeknd, Kendrick Lamar",Pray For Me,44,7,18,2018-06-16
Luke Combs,One Number Away,45,34,12,2018-06-16
Li,Chun,46,10,9,2018-06-16
"6ix9ine, DJ SPINKING",TATI,47,46,2,2018-06-16
BTS,Fake Love,48,10,3,2018-06-16
Juice WRLD,All Girls Are The Same,49,47,4,2018-06-16
"Bruno Mars, Cardi B",Finesse,50,3,23,2018-06-16
XXXTENTACION,Sad!,51,7,14,2018-06-16
The Weeknd,Call Out My Name,52,4,10,2018-06-16
Lauv,I Like Me Better,53,53,17,2018-06-16
Dua Lipa,IDGAF,54,49,21,2018-06-16
Florida Georgia Line,Simple,55,,,2018-06-16
Kenny Chesney,Get Along,56,56,9,2018-06-16
"Nicky Jam, J Balvin",X,57,41,14,2018-06-16
"Morgan Wallen, Florida Georgia Line",Up Down,58,54,11,2018-06-16
"Tyga, Offset",Taste,59,59,2,2018-06-16
J. Cole,KOD,60,10,7,2018-06-16
"Charlie Puth, Kehlani",Done For Me,61,53,5,2018-06-16
Jason Aldean,You Make It Easy,62,28,19,2018-06-16
"Post Malone, Nicki Minaj",Ball For Me,63,16,6,2018-06-16
Foster The People,Sit Next To Me,64,63,12,2018-06-16
Daddy Yankee,Dura,65,43,18,2018-06-16
Lil Pump,Esskeetit,66,24,8,2018-06-16
"Rae Sremmurd, Juicy J",Powerglide,67,28,14,2018-06-16
Famous Dex,Japan,68,28,11,2018-06-16
Dierks Bentley,"Woman, Amen",69,67,9,2018-06-16
"A$AP Rocky, Skepta",Praise The Lord,70,45,2,2018-06-16
"David Lee Murphy, Kenny Chesney",Everything's Gonna Be Alright,71,69,7,2018-06-16
YoungBoy Never Broke Again,Overdose,72,42,6,2018-06-16
"Halsey, Big Sean, Stefflon Don",Alone,73,70,8,2018-06-16
Brett Young,Mercy,74,71,5,2018-06-16
"El Chombo, Cutty Ranks",Dame Tu Cosita,75,36,7,2018-06-16
Blake Shelton,I Lived It,76,64,14,2018-06-16
Luke Combs,Beautiful Crazy,77,58,3,2018-06-16
"Diplo, French Montana, Lil Pump, Zhavia Ward",Welcome To The Party,78,78,2,2018-06-16
"Billie Eilish, Khalid",Lovely,79,79,2,2018-06-16
"Khalid, Ty Dolla $ign, 6LACK",OTW,80,57,7,2018-06-16
Luke Combs,Must've Never Met You,81,,,2018-06-16
Bad Wolves,Zombie,82,54,13,2018-06-16
"Jhene Aiko, Swae Lee Or Rae Sremmurd",Sativa,83,74,13,2018-06-16
"Cardi B, Migos",Drip,84,21,9,2018-06-16
"Gorillaz, George Benson",Humility,85,,,2018-06-16
Jake Owen,I Was Jack,86,86,2,2018-06-16
"Travis Scott, Lil Uzi Vert, Kanye West",Watch,87,16,5,2018-06-16
Post Malone,Rich & Sad,88,14,6,2018-06-16
Weezer,Africa,89,,,2018-06-16
"Playboi Carti, Lil Uzi Vert",Shoota,90,46,4,2018-06-16
"YG, 2 Chainz, Big Sean, Nicki Minaj",Big Bank,91,66,2,2018-06-16
"Lil Baby, Gunna, Lil Uzi Vert",Life Goes On,92,74,3,2018-06-16
Lil Skies,Lust,93,87,4,2018-06-16
Post Malone,Paranoid,94,11,6,2018-06-16
Jordan Davis,Singles You Up,95,50,18,2018-06-16
5 Seconds Of Summer,Youngblood,96,,,2018-06-16
"Ozuna, Romeo Santos",El Farsante,97,49,19,2018-06-16
"Rich The Kid, Kendrick Lamar",New Freezer,98,41,19,2018-06-16
Becky G + Natti Natasha,Sin Pijama,99,,,2018-06-16
"Chris Lane, Tori Kelly",Take Back Home Girl,100,92,2,2018-06-16
Drake,Nice For What,1,1,8,2018-06-09
Drake,God's Plan,3,1,19,2018-06-09
Childish Gambino,This Is America,4,1,4,2018-06-09
"Zedd, Maren Morris, Grey",The Middle,5,5,18,2018-06-09
"Lil Baby, Drake",Yes Indeed,6,6,3,2018-06-09
"Cardi B, Bad Bunny, J Balvin",I Like It,7,7,8,2018-06-09
Ella Mai,Boo'd Up,8,8,9,2018-06-09
"Bebe Rexha, Florida Georgia Line",Meant To Be,9,2,32,2018-06-09
Ariana Grande,No Tears Left To Cry,10,3,6,2018-06-09
Shawn Mendes,In My Blood,11,11,11,2018-06-09
"BlocBoy JB, Drake",Look Alive,12,5,16,2018-06-09
"Marshmello, Anne",Friends,13,11,16,2018-06-09
"Migos, Drake",Walk It Talk It,14,10,18,2018-06-09
Juice WRLD,Lucid Dreams,15,15,3,2018-06-09
Camila Cabello,Never Be The Same,16,6,24,2018-06-09
Ed Sheeran,Perfect,17,1,40,2018-06-09
Imagine Dragons,Whatever It Takes,18,12,18,2018-06-09
Drake,I'm Upset,19,,,2018-06-09
Bazzi,Mine,20,11,19,2018-06-09
Cardi B,Be Careful,21,11,9,2018-06-09
Kane Brown,Heaven,22,15,23,2018-06-09
"Post Malone, 21 Savage",Rockstar,23,1,37,2018-06-09
