"","Artists","Name","Weeks.on.chart","Peak.position","Week","Weekly.rank","Date","Genre","Writing.Credits","Lyrics","Songwriter","ID"
"1360","Rae Sremmurd","Perplexing Pegasus",3,84,"2017-09-09",91,"August 4, 2017","Southern, Trap, Atlanta, Rap","Kent luciiano, J bo, Mike will made it, Slim jxmmi, Swae lee","Perplexing Pegasus 
Ear Drummers
Mike WiLL Made-It
Jump in the Pegasus on them horses
All kinda reckless the necklace yeah, we bad
All kinda reckless I flexed it yeah
K-keep the change, yeah you heard me correctly hey
If she sleek and foreign, call her Lexus on them horses
Every week a foreign, I just check her wishlist woah, yeah
Only thing I'm here for is perplexin' on them horses, skrrt!
Caterpillar whip and I lowered it woo, yeah
Lil' Jxm', I got a problem hey
I'm in love with money, I'm in love with ballin' yeah
Gotta keep my phone on vibrate, how these bitches callin' brrr, brrr
Neiman Marcus' shawty and I ain't window shoppin' yeah
2K on my feet, yeah, 2K, I be kickin' game game
Bubble Gum OG, I'm smokin' on a different strain woo
Niggas stealin' sauce, they need to stay up in their lane lane
Baby, we on top and that ain't ever gonna change Sremm
Put you boys to shame shame on you
Pull them foreign's out
And put you boys to shame shame on you
Going hard on a bitch like Major Payne yeah, yeah
Say my name Jxm
They ain't know how to spell it, so I put it on my chain skrrt, skrrt
Jump in the Pegasus on them horses
All kinda reckless the necklace yeah, we bad
All kinda reckless I flexed it yeah
K-keep the change, yeah you heard me correctly hey
If she sleek and foreign, call her Lexus on them horses
Every week a foreign, I just check her wishlist woah, yeah
Only thing I'm here for is perplexin' on them horses, skrrt
Caterpillar whip and I lowered it woo, yeah
All these, hundreds got me siftin' yea, yeah
G35, needs a liftkit yeah
Man dirty cup I'm grippin' I mean it's a pig pen
Leave your chick within five feet of me, wouldn<U+0092>t risk it woo, risk
Niggas cannot stop me, told 'em just to face it brrrp
Aston sittin' low lower, damn I scraped it hey
She like, ""Spread your wings, 'cause it's the Pegasus"" woo
I'm like, ""I might go and take the spot, because of negligence"" yeah
Oh, barricades ain't holdin' me ayy
Money on me, but that ain't controllin' me
Last night had bitches bogin' me, like they go at me?
Took off on these niggas, caught a JetStream yeah
Jump in the Pegasus on them horses
All kinda reckless the necklace yeah, we bad
All kinda reckless I flexed it yeah
K-keep the change, yeah you heard me correctly hey
If she sleek and foreign, call her Lexus on them horses
Every week a foreign, I just check her wishlist woah, yeah
Only thing I'm here for is perplexin' on them horses, skrrt yeah
Caterpillar whip and I lowered it woo, yeah yeah
","True",1360
"1361","Rae Sremmurd","Swang",26,26,"2017-07-01",50,"August 12, 2016","Trap, Rap","Slim jxmmi, Swae lee","Swang 
Mmm, it's nasty
Uhmm
Know some young niggas like to swang, uhmm
Know some young niggas like to swang
Know some young niggas like to swang
Know some young niggas like to swang
Know some young niggas like to swang
Big bank take a little bank
Everyday spillin' up drank
She want the whole crew, shawty brave
When the money talks, what is there to say?
Blow away, watch it blow away
When I die can't take it to the grave
Hop out, drop, top, fuck y'all talkin' I need it right now
Cash in the air, yeah, what goes up gotta come down
Gettin' dough ain't a thing change
Coasting, grippin' grain
Goin' through the money like a phase
Don't say my name in vain
I'm so glad that you came
All these bad bitches gettin' slain
Broke ass nigga get a clue
All these niggas know how we do
Know some young niggas like to swang
Know some young niggas like to swang
Big bank take a little bank
Everyday spillin' up drank
She want the whole crew, shawty brave
When the money talks, what is there to say?
Blow away, watch it blow away
When I die can't take it to the grave
Hop out, drop, top, fuck y'all talkin' I need it right now
Cash in the air, yeah, what goes up gotta come down
I know some young niggas from the bottom
They'll do anything for a dollar
I coulda went to school to be a doctor
But I dropped out and chose to be a baller
Switchin' lanes, spittin' game in my new drop
Still on a paper chase that don't ever stop
Everybody with me family, that's how we rock
Party at the mansion, we bout to flood the spot
Sremmlife!
Know some young niggas like to swang
Know some young niggas like to swang
Big bank take a little bank
Everyday spillin' up drank
She want the whole crew, shawty brave
When the money talks, what is there to say?
Blow away, watch it blow away
When I die can't take it to the grave
","False",1361
"1362","Rae Sremmurd","This Could Be Us",20,49,"2015-11-06",72,"April 21, 2015","Rap","Marz, Swae lee, Slim jxmmi, Rae sremmurd, Mike will made it","This Could Be Us 
I've done it before, I've seen it before
Tears splashin' the floor when I open the door for her
She actin' like a whore and I'ma let her
Learned from Project Pat, pimpin', got a masters
Girl, improvise, look me in my eyes and lie to me
Lie to me, act like I'll believe anything
Sex on the beach and in the backseat
This could be us
So back to what I was saying
Money make the world go 'round
This could be us, but you're playing
Money make your girl go down
This could be us, but you're playing
Money make the world go 'round
I'm high, hope I don't sound crazy
Money make your girl go down
Fuck what them niggas was saying
Money make the world go 'round
This could be us, but you're playing
Money make your girl go down
This could be us, but you're playing
Money make the world go 'round
But shit, that's all I was saying
Money make your girl go down
No keys to crank this Mercedes
I ball like Tracy McGrady
Before that girl touch anything
She gotta say please say please
And I know they really wish we would ball 'til we fall
I'm the big bad wolf, it's a full moon, y'all
Toss the money in the air, girl
Watch how your dreams hit the floor
Wait 'til I get the buzz off this drug
Damn girl, you way too fine for a local club
Killin' someone's vibe should be a fuckin' crime
Wasted so much time, should be a fuckin' crime
So back to what I was saying
Money make the world go 'round
This could be us, but you're playing
Money make your girl go down
This could be us, but you're playing
Money make the world go 'round
I'm high, hope I don't sound crazy
Money make your girl go down
Fuck what them niggas was saying
Money make the world go 'round
This could be us, but you're playing
Money make your girl go down
This could be us, but you're playing
Money make the world go 'round
But shit, that's all I was saying
Money make your girl go down
Spin the bottle, spin the fuckin' bottle
If you the reason why it's empty, baby
Spin the bottle
Truth or dare, nah, you don't want no problem
Spin the bottle, spin the fuckin' bottle
If you the reason why it's empty, spin the fuckin' bottle
Truth or dare, no, no, you don't want no problem
You don't want no problem, bitch, you must want problems
So back to what I was saying
Money make the world go 'round
This could be us, but you're playing
Money make your girl go down
This could be us, but you're playing
Money make the world go 'round
I'm high, hope I don't sound crazy
Money make your girl go down
Fuck what them niggas was saying
Money make the world go 'round
This could be us, but you're playing
Money make your girl go down
This could be us, but you're playing
Money make the world go 'round
But shit, that's all I was saying
Money make your girl go down
","True",1362
"1363","Rae Sremmurd, Gucci Mane","Black Beatles",27,1,"2017-04-01",40,"August 12, 2016","Interscope Records, Memes, Producer, Trap, Atlanta, Rap","Mike will made it, Gucci mane, Slim jxmmi, Swae lee","Black Beatles 
Black Beatles in the city
Be back immediately to confiscate the moneys
Ear Drummers
Rae Sremm, Guwop, Mike WiLL!
I sent flowers, but you said you didn't receive 'em
But you said you didn't need 'em Mike WiLL!
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinking
They lose it when the DJ drops the needle
Getting so gone I'm not blinkin'
What in the world was I thinkin'?
New day, new money to be made
There is nothin' to explain
I'm a fuckin' black Beatle, cream seats in the Regal
Rockin' John Lennon lenses, like to see <U+0091>em spread eagle
Took a bitch to the club and let her party on the table
Screamin', ""Everybody's famous!""
Like clockwork, I blow it all
And get some more
Get you somebody that can do both
Black Beatles got the babes belly rollin'
She think she love me, I think she trollin'
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinkin'
They lose it when the DJ drops the needle
Came in with two girls, look like strippers in their real clothes
A broke ho can only point me to a rich ho
A yellow bitch with green hair, a real weirdo
Black man, yellow Lamb', red light go
They seen that Guwop and them just came in through the side door
There's so much money on the floor we buyin' school clothes
Why you bring the money machine to the club for?
Pint of lean, pound of weed, and a kilo
I Eurostep past a hater like I'm Rondo
I upgrade your baby mama to a condo
Like Chapo servin' yayo to the gringos
Black Beatle, club close when I say so
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinkin'
They lose it when the DJ drops the needle
She's a good teaser, and we blowin' reefer
Your body like a work of art, baby
Don't fuck with me, I'll break your heart, baby
D&G on me, I got a lot of flavor
15 hundred on my feet, I'm tryna kill these haters
I had haters when I was broke, I'm rich, I still got haters
I had hoes when I was broke, I'm rich, I'm still a player
I wear leather Gucci jackets like it's still the 80s
I've been blowin' OG Kush, I feel a lil' sedated
I can't worry about a broke nigga or a hater
Black Beatle, bitch, me and Paul McCartney related
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinkin'
They lose it when the DJ drops the needle
","True",1363
"1364","Rae Sremmurd, Juicy J","Powerglide",17,28,"2018-07-07",86,"March 1, 2018","Taylor Gang, Interscope Records, Atlanta, Memphis, Trap, Rap","Juicy j, Slim jxmmi, Swae lee","Powerglide 
Yeah, yeah, yeah
Mike WiLL Made-It
Yeah, yeah, yeah
Mally Mall
Oh, oh, oh, oh, oh
Ear Drummers
Yeah, ho
What's in ya' mug? Toasted up, nah, I ain't hostin'
Kush all in my lap because these hoes don't wanna roll it
I was slidin' in the Lamb' with the powerglide
Slime green paint, peanut butter inside
She wanna fuck, speak up, comin' out her clothes clothes
I'm in wonderland when she comin' down the pole
And I don't care if she take all of mine
Like it ain't shit but a dollar sign
Diamonds unthawed, comin' in froze froze
Got too many girls to let one of them go oh
When I make a purchase, I can't wait to show-ow-boat oh
If she bad, I put a pinky ring on, snow globe
I'ma have that pussy on lock like po-po yeah
She was goin' up and down like yo-yo down
You can say I'm greedy 'cause I always want more more
I don't fuck with holmes 'cause they with some slow-pokes lame
Ooh, money on monsoon ooh, baby girl, full moon ayy
Give these niggas with some money some room
She don't stop, batteries not included go
Oh, big ballin' like Mutombo
Much cooler than the cool kids, woah
Can you believe every night we do this? Do this, yeah
What's in ya' mug? Toasted up, nah, I ain't hostin'
Kush all in my lap because these hoes don't wanna roll it
I was slidin' in the Lamb' with the powerglide
Slime green paint, peanut butter inside
She wanna fuck, speak up, comin' out her clothes clothes
I'm in wonderland when she comin' down the pole
And I don't care if she take all of mine
Like it ain't shit but a dollar sign
Hold up, I'ma go and spend those hundreds though hol' up
I don't care if she had a man, so? Man?
Pedicure gang, get your fingernails did
With no shame, flips that ass like heads or tails tails
And she finer than a motherlover lover
Can I hit that ass like a bullseye? Hit
She gon' suck like a bloodsucker woo
My fee higher than a motherfucker
Oh, I hear you like fast cash fast cash
Baby, you know I got the hots for you I've got the hots
I've been workin', so I cash in
She said, ""I only wanna dance for you"" dance
We have no mercy for you, no no
Me and my niggas closer than in-laws than in-laws
Fuck an interview, she know the answer answer
Prototype cars, not a Jaguar skrrt
What's in ya' mug? Toasted up, nah, I ain't hostin'
Kush all in my lap because these hoes don't wanna roll it
I was slidin' in the Lamb' with the powerglide
Slime green paint, peanut butter inside
She wanna fuck, speak up, comin' out her clothes clothes
I'm in wonderland when she comin' down the pole
And I don't care if she take all of mine
Like it ain't shit but a dollar sign
Duck sauce on my feet, ho, pass around the pre-rolls
Rollie on my chain, Flavor Flav with the steez, ho
Kush residue on my jeans, I blow hella dope
And them classic Reeboks, whiter than snow
And a nigga be dressin', walkin' 'round, Gucci steppin'
Unintentional flexin', tryna send out a message
Money walk with the extra, shake that ass wit' ya bestie
Seein' stars in the rental, got your broad in the rental
20K in A.O.D. and it's just me and my kinfolk
Tryna send a girl to college, I ain't coppin' no free show
Say her birthday late July, yeah, that means she a Leo
Might just leave with me tonight, but that don't mean she a freak ho
Fuck with dancers and models, shout out them girls who get dollars
Shawty came from the bottom, yeah, shout out Keisha Bottoms
Couple cases of Rose, came out to me with the sparklers
I pour up for all the girls, but I'ma drink out the bottles
What's in ya' mug? Toasted up, nah, I ain't hostin'
Kush all in my lap because these hoes don't wanna roll it
I was slidin' in the Lamb' with the powerglide
Slime green paint, peanut butter inside
She wanna fuck, speak up, comin' out her clothes clothes
I'm in wonderland when she comin' down the pole
And I don't care if she take all of mine I got you Swae
Like it ain't shit but a dollar sign Juicy J yeah, ho
She got that million dollar pussy, but I get it for the free
She like to do a lot of snow, I told that bitch to come and ski
Shawty bad, she can get it, she can swallow, she can spit it
Bring her friend, if she with it, on the pole, y'all can split it
In the bed or the Lamb' or the Lamb'
Got your bitch suckin' dick on the 'Gram on the 'Gram
V12 helped me get up out the jam out the jam, trunk full of slam
R.I.P. Lil Peep, I gotta slow down on them Xans hey
Just had a menage hey, back seat of my Benz hey
Put that shit on camera hey, she squirted on the lens hey
Then she told me put it on her chinny chin-chin hey
Pocket full of nothin' but them Benjy Franklins
In the game, posted up up, puttin' numbers up up
Bitch, run me that check first, I don't wanna fuck yeah
They say it's cuffin' season, baby, you ain't good enough nope
She want a real nigga, dawg, you ain't hood enough
What's in ya' mug? Toasted up, nah, I ain't hostin'
Kush all in my lap because these hoes don't wanna roll it
I was slidin' in the Lamb' with the powerglide
Slime green paint, peanut butter inside
She wanna fuck, speak up, comin' out her clothes clothes
I'm in wonderland when she comin' down the pole
And I don't care if she take all of mine
Like it ain't shit but a dollar sign
","False",1364
"1365","Rae Sremmurd, Nicki Minaj, Young Thug","Throw Sum Mo",20,30,"2015-05-29",44,"December 9, 2014","Trap, Rap","Jeremih, Slim jxmmi, Swae lee, Nicki minaj, Young thug, Rae sremmurd, Mike will made it, Soundz","Throw Sum Mo 
Ass fat uh, bust it, Yeah, I know
You just got cash? Mm, bust it Blow some mo' word
Blow some mo' bust it, blow some mo'
The more you spend it yeah, bust it, the faster it go yeah, go
Bad bitches bust it on the floor uh huh
It's rainin' hundreds bust it, throw some mo' okay
Throw some mo' yeah, bust it, throw some mo' word?
Throw some mo' yeah, throw some mo'
Slim Jxmmi yeah
Hi, bye, hater hater, I flood the club with paper paper
Shorty got a ass, some for now and some for later delicious
Somethin' like Nicki's do it, dancin' like Maliah
I'm throwin' all this money, I'ma fuck around and buy her
I can flick the money all night 'til my wrist tired tired
If you put in work, this the night you gon' retire yeah
You a bad bitch, I ain't even gon' deny her no
She told me ""throw that money,"" I said ""make it worth my while""
I'm 'bout to empty out the ATM throw it, throw it, throw it
She doin' tricks that make a nigga wanna spend blow it, blow it
Girl, you know you got me fascinated uh huh
Just keep on dancin' 'til I'm outta paper never
Ass fat uh, bust it, Yeah, I know
You just got cash? Mm, bust it Blow some mo' word
Blow some mo' bust it, blow some mo'
The more you spend it yeah, bust it, the faster it go yeah, go
Bad bitches bust it on the floor uh huh
It's rainin' hundreds bust it, throw some mo' okay
Throw some mo' yeah, bust it, throw some mo' word?
Throw some mo' yeah, throw some mo'
Franklins hunnid rainin' on your body yeah
Rainin' on your body hunnids, rainin' on your body yeah, yeah
Won't you do what I say? Start rubbin' on your body
You like hundreds on your body? Hunnids on your...
Girl, you need to get naughty
Hold up, hold on, her eyes on me, is that your ho?
If so I'ma get her 'fore the night's over
DJ play my shit so I'm finna crank up off in the VIP zone
See the money go up and she dance on sight
By the end of the night, she on endo
Lemme see you make it clap on tempo
Lemme see you get low like limbo
Ass fat uh, bust it, Yeah, I know
You just got cash? Mm, bust it Blow some mo' word
Blow some mo' bust it, blow some mo'
The more you spend it yeah, bust it, the faster it go yeah, go
Bad bitches bust it on the floor uh huh
It's rainin' hundreds bust it, throw some mo' okay
Throw some mo' yeah, bust it, throw some mo' word?
Throw some mo' yeah, throw some mo'
Thugger! Come here, ho come here, come here
Mistletoe ooh wee
I got birdies what?
Crows ooh
Lil bitty bitch wanna jump on the dick
I'm like ""Bool, let's get it, let's get it"" sheesh
I got these bitches kissin' on these bitches yeah
I can't even count 'em, I fuck by the digits whew, woo
Swag terrific what?
I might fuck this bitch in the kitchen bih
Baby, don't use dirty dishes no way
Or else you might whip up a brr brr
My neck, my wrist is a brr woo
She wan' fuck my dawg, I'm like woof woof, woof
Panoramic roof, I drop the coupe, boo damn
Pull up with a bitch, she look like New New woo
It's okay if I lie to you, bitch, my swag the truth woo
Hey, she come right back, like them Davins do
Fifty thousand off fifty niggas, no caliber, bitch
Ass fat uh, bust it, Yeah, I know
You just got cash? Mm, bust it Blow some mo' word
Blow some mo' bust it, blow some mo'
The more you spend it yeah, bust it, the faster it go yeah, go
Bad bitches bust it on the floor uh huh
It's rainin' hundreds bust it, throw some mo' okay
Throw some mo' yeah, bust it, throw some mo' word?
Throw some mo' yeah, throw some mo'
","True",1365
"1366","Rae Sremmurd, Travis Scott","Close",1,NA,"2018-05-05",98,"April 18, 2018","G.O.O.D. Music, Grand Hustle, Universal, Interscope Records, R&B, Atlanta, Southern, Trap, Houston, Rap","30 roc, Mike will made it, Travis scott, Slim jxmmi, Swae lee","CLOSE 
30, you a fool for this one
Oh, C-L-O-S-E
Ear Drummers
Mike WiLL Made-It
One rope in the chain, yeah, lightin' propane, yeah
Dousin' the flame, yeah, bounce for some change, yeah
Gang can't be tamed, yeah, ice in our veins, yeah
Somethin' feels strange, this cup is dangerous
Somethin' ain't right, dawg yeah, we in too easy yeah
Been here all night, dawg, really, I'm tweakin', yeah it's lit
Lookin' to pipe some, ass in the party, look like a pageant pop it
If we gon' fight some, beat it and dash it, lawyer do magic alright
Love right up my avenue ooh but that<U+0092>s just not up my avenue no
You cried and said, ""Look what you made me do"" you made me do
It's not my fault that I don't wanna end up screwed ooh
And everything I'm tryna say, you beat me to it to it
And all the ups and all the downs, we have been through it through it
Now you're C-L-O-S-E you're too close, you're too C-L-O-S-E to me you're so close
C-L-O-S-E it's ruined
You're so C-L-O-S-E to me
C-L-O-S-E to me it's ruined
I mean, seriously, can I breathe?
C-L-O-S-E
You're so C-L-O-S-E to me
You're too C-L-O-S-E to me yeah, C-L-O-S-E
You're so C-L-O-S-E yeah Jxm, ayy
You know I'm a dog and I can't control it dog
Wanna settle someday but not at the moment wanna settle someday
I'ma stack up the cake like Obama told me gotta stack up the cake
Niggas smile in your face and they're not your homie too close
Makin' me claustrophobic claustrophobic, bust down the AP and wet the Rollie bust it down
Stop callin' me ""brother,"" you barely know me I'm not your bro
Don't tell me you love me, you gotta show me don't tell me you love me
I'm so anti Jxm, gotta get paid to go outside woo
Blowin' on the strong like ""How High"" blowin' on strong
Haters still watch from the sideline haters still watchin'
Sremm and La Flame on the incline incline
Mixin' up brands, it's drip time drip
Stuck to the plan, had to get mine get mine
Stayed down and it paid off big time
So many, so many drugs
You only get so many, so many tries
So many, so many tries
You only get so many, so many tries
So many, so many tries
You only get so many, so many tries
So many, so many tries
You only get so many, so many tries
C-L-O-S-E ooh
You're so C-L-O-S-E to me you know
C-L-O-S-E to me you made me do
I mean, seriously, can I breathe? Ooh
C-L-O-S-E through it
You're so C-L-O-S-E to me through it
You're too C-L-O-S-E to me you're too close
You're so C-L-O-S-E you're so close
","True",1366
"1367","RaeLynn","God Made Girls",16,61,"2015-02-20",95,"June 30, 2014","Country","Lori mckenna, Liz rose, Nicolle galyon, Raelynn","God Made Girls 
Somebody's gotta wear a pretty skirt
Somebody's gotta be the one to flirt
Somebody's gotta wanna hold his hand so God made girls
Somebody's gotta make him get dressed up
Give him a reason to wash that truck
Somebody's gotta teach him how to dance
So God made girls
He needed something soft and loud and sweet and proud
But tough enough to break a heart
Something beautiful and breakable that lights up in the dark
So God made girls, God made girls
He stood back and told the boys, ""I'm 'bout to rock your world.""
And God made girls for singing in your front seat
God made girls for dancin' to our own beat
He stood back and told the boys, ""I'm 'bout to rock your world.""
And God made girls
Somebody's gotta be the one to cry
Somebody's gotta let him drive
Give him a reason to hold that door so God made girls
Somebody's gotta put up a fight
Make him wait on a Saturday night
To walk downstairs and blow his mind
So God made girls
Something that can wake him up and call his bluff and drag his butt to church
Something that is hard to handle
Somethin' fragile to hold him when he hurts
So God made girls, God made girls
He stood back and told the boys, I'm 'bout to rock your world
And God made girls for singing in your front seat
God made girls for dancin' to our own beat
He stood back and told the boys, ""I'm 'bout to rock your world.""
And God made girls
Somebody's gotta wear a pretty skirt
Somebody's gotta be the one to flirt
Somebody's gotta wanna hold his hand
So God made girls, God made girls
He stood back and told the boys, I'm 'bout to rock your world
And God made girls for singing in your front seat
God made girls for dancin' to our own beat
He stood back and told the boys, ""I'm 'bout to rock your world.""
And God made girls
Somebody's gotta wear a pretty skirt
Somebody's gotta be the one to flirt
Somebody's gotta wanna hold his hand
So God made girls
","False",1367
"1368","Rag'n'Bone Man","Human",7,74,"2017-06-24",100,"July 21, 2016","Adult Alternative, Alternative, UK, Neo Soul, Blues, Soul, Funk, R&B, Pop","Ragnbone man, Jamie hartman","Human
Human 
I'm only human
I'm only, I'm only
I'm only human, human
Maybe I'm foolish, maybe I'm blind
Thinking I can see through this and see what's behind
Got no way to prove it, so maybe I'm lying
But I'm only human after all
I'm only human after all
Don't put your blame on me
Don't put your blame on me
Take a look in the mirror and what do you see?
Do you see it clearer, or are you deceived
In what you believe?
'Cause I'm only human after all
You're only human after all
Don't put the blame on me
Don't put your blame on me
Some people got the real problems
Some people out of luck
Some people think I can solve them
Lord heavens above
I'm only human after all
I'm only human after all
Don't put the blame on me
Don't put the blame on me
Don't ask my opinion, don't ask me to lie
Then beg for forgiveness for making you cry
Making you cry
'Cause I'm only human after all
I'm only human after all
Don't put your blame on me
Don't put the blame on me
Some people got the real problems
Some people out of luck
Some people think I can solve them
Lord heavens above
I'm only human after all
I'm only human after all
Don't put the blame on me
Don't put the blame on me
I'm only human; I make mistakes
I'm only human, that's all it takes
To put the blame on me
Don't put the blame on me
'Cause I'm no prophet or Messiah
You should go looking somewhere higher
I'm only human after all
I'm only human after all
Don't put the blame on me
Don't put the blame on me
I'm only human, I do what I can
I'm just a man, I do what I can
Don't put the blame on me
Don't put your blame on me
","False",1368
"1369","Randy Houser","Like A Cowboy",14,62,"2015-03-20",82,"","Country","","Like a Cowboy 
Every time I fall I get back up again
Cinch my saddle up and find me another wind
Let it take me where it wants to go
Another one horse town, another damned old rodeo
I know this life is crazy
But I'll be home soon baby
I'll ride in on a sunny day
Sing you a song, steal your heart away
Like a cowboy
Hang my hat like I'm here for a while
Kick off my boots and drive you wild
Like a cowboy
Well baby you know I can't stay long
You wake up, I'll be gone
Until then I'll hold on
Like a cowboy
I keep your picture tucked inside my old hat
It brings me luck, I need a bunch of that
This midnight winding road runs through my blood
I can't give it up, like I said I would
I know it's hard on you
But like I always do
I'll ride in on a sunny day
Sing you a song, steal your heart away
Like a cowboy
Hang my hat like I'm here for a while
Kick off my boots and drive you wild
Like a cowboy
Well baby you know I can't stay long
You wake up, I'll be gone
Until then I'll hold on
Like a cowboy
I'll ride in on a sunny day
Sing you a song, steal your heart away
Like a cowboy
Hang my hat like I'm here for a while
Kick off my boots and drive you wild
Like a cowboy
Like a cowboy
Like a cowboy
Like a cowboy
Every time I fall I get back up again
Cinch my saddle up and find me another wind
","False",1369
"1370","Randy Houser","We Went",13,60,"2016-04-02",91,"May 18, 2015","Country","John king, Matt rogers, Justin wilson","We Went 
Black Pontiac with a pocket of cash
Foot on the gas ready and throwing up a little dust
Like a pickup truck does in the mud
But ain<U+0092>t nobody slowing us down right now
She said, ""I need a little something with some get up and go
And nobody knows how to get me going quite like you do
When you do the things you do
Wanna give this sleepy podunk town something to talk about""
We were taillights fading from some blue lights chasing
Cut a path through the corn on County Road 44
Tore up a fence, jumped in a ditch, felt so good
We didn<U+0092>t want it to end so we went
Looking for a dive just to kill some time
Let the heat cool off we could do us some dancing
Didn<U+0092>t take long, just a couple of songs
You know it<U+0092>s last call when the law comes walking in
So we were taillights fading from some blue lights chasing
Cut a path through the corn off County Road 44
Tore up a fence, jumped in a ditch, felt so good
We didn<U+0092>t want it to end so we went
Rocking to the radio, fogging up the windows
Headlights off in a spot nobody else knows
We were taillights fading from some blue lights chasing
Cut a path through the corn on County Road 44
Tore up a fence, jumped in a ditch, felt so good
We didn<U+0092>t want it to end
Black Pontiac with a pocket of cash
Foot on the gas ready and throwing up a little dust
Like a pick up truck does in the mud
But ain<U+0092>t nobody slowing us down right now
","False",1370
"1371","Rascal Flatts","I Like The Sound Of That",16,52,"2016-05-28",95,"May 13, 2014","Country","Shay mooney, Jesse frasure, Meghan trainor","I Like The Sound Of That 
I love hearing that shower turn on
Bet there's nothing but a towel on you
You sing along with some Timberlake bumping
But he ain't got nothing on you
I don't wanna hear the coffee pouring
A goodbye kiss, then locking the door yeah
Sounds like leaving you, oh
It's a little too loud on the highway
I wanna pull back in your driveway
It's way too quiet at my place
Wanna come on over, come on over
I just wanna hear that ringtone
I like it turned up when you're blowing up my phone
Wanna hear you say come on over
Cause when you tell me to come on over
I like the sound of that
I like the sound, I like the sound of that
I like the sound, I like the sound of that
Love the sound of the thunder rolling
Makes you move a little closer to me
Girl I bet that your neighbors hate us
Cause we could laugh all night and never sleep
We can worry 'bout the world in the morning
Light up a candle, lock the door
Wanna stay right here with you, yes I do
It's a little too loud on the highway
I wanna pull back in your driveway
It's way too quiet at my place
Wanna come on over, come on over
I just wanna hear that ringtone
I like it turned up when you're blowing up my phone
Wanna hear you say come on over
Cause when you tell me to come on over
I like the sound of that
I like the sound, I like the sound of that
I like the sound, I like the sound of that
Turn your radio on, baby turn down the lights
I ain't going nowhere, I'm all yours tonight
It's a little too loud on the highway
I wanna pull back in your driveway
It's way too quiet at my place
Wanna come on over, come on over
I just wanna hear that ringtone
I like it turned up when you're blowing up my phone
Wanna hear you say come on over
Cause when you tell me to come on over
I like the sound of that
I like the sound, and I love the sound of that
I like the sound, I like the sound of that
I like the sound, I like the sound of that
Yes I do I like the sound, I like the sound of that
","False",1371
"1372","Rascal Flatts","Yours If You Want It",10,71,"2017-08-12",87,"January 6, 2017","Country","Andrew dorff, Jonathan singleton","Yours If You Want It 
There's one more sip in this bottle of wine
A lonely star hangin' in the sky with a wish left on it
And it's yours if you want it
And this wildflower from the neighbor's yard
A real slow dance in the moonlight dark
This hand in my pocket
Oh baby, just call it
Cause it's yours if you want it
And every bit of love left in this beat up, banged up, scarred up heart
That's been waitin' on a girl like you
I know it ain't much
But it comes alive with every touch
Every kiss already feels like you own it
Baby, it's yours if you want it
Half of this rickety front porch swing
Every word of every song I sing
My jacket when it's cold
Oh baby, don't you know?
You've got a place to lay your head
On the other side of my empty bed
And it's just made for fallin'
And it's yours if you want it
It's yours if you want it
And every bit of love left in this beat up, banged up, scarred up heart
That's been waitin' on a girl like you
I know it ain't much
But it comes alive with every touch
Every kiss already feels like you own it
Baby, it's yours if you want it
It's yours if you want it
Every dollar, every dime, every drop of rain, every single thing I could beg, steal, or borrow
Every yesterday and tomorrow
Well every grain of sand on the beach
Every blade of grass under our feet
Baby, your name is written on it
And it's yours if you want it
And every bit of love left in this beat up, banged up, scarred up heart
That's been waitin' on a girl like you
And I know it ain't much
But it comes alive with every touch
Every kiss already feels like you own it
Baby it's yours if you want it
Oh, oh
Every dollar, every dime, every drop of rain, every single thing
That I could beg, steal, or borrow
Baby, your name is written on it
Baby, it's yours if you want it
","False",1372
