Artists,Name,Peak position,Week,Weekly rank,Weeks on chart
Jason Derulo,Whatcha Say,5,2009-10-08,5,7
Taylor Swift,You Belong With Me,2,2009-10-08,6,23
Lady Gaga,Paparazzi,7,2009-10-08,7,5
Kings Of Leon,Use Somebody,4,2009-10-08,8,35
Mariah Carey,Obsessed,7,2009-10-08,9,12
Jay,Empire State Of Mind,5,2009-10-08,10,3
Carrie Underwood,Cowboy Casanova,11,2009-10-08,11,2
"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,8,2009-10-08,12,2
Shakira,She Wolf,11,2009-10-08,13,11
Pitbull,Hotel Room Service,8,2009-10-08,14,15
Beyonce,Sweet Dreams,15,2009-10-08,15,10
Drake,Best I Ever Had,2,2009-10-08,16,21
Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,7,2009-10-08,17,18
Fabolous Featuring The,Throw It In The Bag,14,2009-10-08,18,17
Keri Hilson Featuring Kanye West & Ne,Knock You Down,3,2009-10-08,19,27
Mario Featuring Gucci Mane & Sean Garrett,Break Up,14,2009-10-08,20,15
Drake Featuring Trey Songz & Lil Wayne,Successful,17,2009-10-08,21,11
Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey,21,2009-10-08,22,10
Flo Rida Featuring Ne,Be On You,19,2009-10-08,23,11
Owl City,Fireflies,24,2009-10-08,24,6
Jordin Sparks,Battlefield,10,2009-10-08,25,20
Justin Bieber,One Time,26,2009-10-08,26,10
Kelly Clarkson,Already Gone,27,2009-10-08,27,9
Boys Like Girls,Love Drunk,22,2009-10-08,28,13
Jason Aldean,Big Green Tractor,18,2009-10-08,29,16
The Black Eyed Peas,Boom Boom Pow,1,2009-10-08,30,29
Green Day,21 Guns,22,2009-10-08,31,14
Zac Brown Band,Toes,31,2009-10-08,32,10
Colbie Caillat,Fallin' For You,12,2009-10-08,33,13
Daughtry,No Surprise,15,2009-10-08,34,21
Pitbull,I Know You Want Me,2,2009-10-08,35,31
The Fray,Never Say Never,32,2009-10-08,36,16
Lady Antebellum,Need You Now,37,2009-10-08,37,7
Sean Kingston,Fire Burning,5,2009-10-08,38,21
Toby Keith,American Ride,36,2009-10-08,39,9
Katy Perry,Waking Up In Vegas,9,2009-10-08,40,22
P!nk,Please Don't Leave Me,17,2009-10-08,41,24
Keith Urban,Only You Can Love Me This Way,42,2009-10-08,42,11
Chris Young,Gettin' You Home,43,2009-10-08,43,7
Maxwell,Pretty Wings,33,2009-10-08,44,22
David Guetta Featuring Akon,Sexy Chick,45,2009-10-08,45,8
Cascada,Evacuate The Dancefloor,39,2009-10-08,46,7
The Black Eyed Peas,Meet Me Halfway,47,2009-10-08,47,2
Jason Mraz,I'm Yours,6,2009-10-08,48,76
Ester Dean Featuring Chris Brown,Drop It Low,49,2009-10-08,49,3
Gucci Mane Featuring Plies Or OJ Da Juiceman,Wasted,50,2009-10-08,50,4
Iyaz,Replay,51,2009-10-08,51,6
Dorrough,Ice Cream Paint Job,27,2009-10-08,52,18
Justin Moore,Small Town USA,44,2009-10-08,53,17
Jeremih,Imma Star,51,2009-10-08,54,10
LMFAO,La La La,55,2009-10-08,55,2
Rob Thomas,Her Diamonds,23,2009-10-08,56,19
Pearl Jam,The Fixer,56,2009-10-08,57,5
Linkin Park,New Divide,6,2009-10-08,58,19
Uncle Kracker,Smile,47,2009-10-08,59,8
Drake Featuring Lil Wayne & Young Jeezy,I'm Going In,40,2009-10-08,60,2
Alicia Keys,Doesn't Mean Anything,,2009-10-08,61,
Brad Paisley,Welcome To The Future,62,2009-10-08,62,8
),LOL :,51,2009-10-08,63,4
Kenny Chesney With Dave Matthews,I'm Alive,64,2009-10-08,64,6
Luke Bryan,Do I,65,2009-10-08,65,4
Muse,Uprising,37,2009-10-08,66,3
Breaking Benjamin,I Will Not Bow,40,2009-10-08,67,4
"Mary Mary Featuring Kierra ""KiKi"" Sheard",God In Me,68,2009-10-08,68,13
Eric Church,Love Your Love The Most,63,2009-10-08,69,14
Sean Kingston,Face Drop,70,2009-10-08,70,3
Glee Cast,Taking Chances,,2009-10-08,71,
Jay,Young Forever,41,2009-10-08,72,3
3OH!3 Featuring Katy Perry,Starstrukk,73,2009-10-08,73,6
George Strait,Living For The Night,53,2009-10-08,74,16
Mariah Carey,I Want To Know What Love Is,66,2009-10-08,75,2
Darius Rucker,Alright,30,2009-10-08,76,20
New Boyz,You're A Jerk,24,2009-10-08,77,15
Blake Shelton,I'll Just Hold On,76,2009-10-08,78,13
Love And Theft,Runaway,65,2009-10-08,79,5
R. Kelly Featuring Keri Hilson,Number One,80,2009-10-08,80,5
LMFAO,I'm In Miami Trick,51,2009-10-08,81,18
Pleasure P,Under,81,2009-10-08,82,5
Leona Lewis,Happy,50,2009-10-08,83,2
Darryl Worley,Sounds Like Life To Me,84,2009-10-08,84,9
Glee Cast,Somebody To Love,,2009-10-08,85,
Beyonce,Ego,39,2009-10-08,86,17
Randy Houser,Boots On,53,2009-10-08,87,18
Keyshia Cole Duet With Monica,Trust,70,2009-10-08,88,14
Taylor Swift,Fifteen,65,2009-10-08,89,4
Mary J. Blige Featuring Drake,The One,63,2009-10-08,90,10
Selena Gomez & The Scene,Falling Down,91,2009-10-08,91,5
The All,I Wanna,92,2009-10-08,92,2
Three Days Grace,Break,88,2009-10-08,93,3
Alice In Chains,Check My Brain,94,2009-10-08,94,2
David Nail,Red Light,,2009-10-08,95,
Maxwell,Bad Habits,,2009-10-08,96,
P!nk,Funhouse,,2009-10-08,97,
Craig Morgan,Bonfire,,2009-10-08,98,
Rascal Flatts,Summer Nights,37,2009-10-08,99,18
Kid Cudi Featuring MGMT & Ratatat,Pursuit Of Happiness,59,2009-10-08,100,2
The Black Eyed Peas,I Gotta Feeling,1,2009-10-01,1,5
Jay Sean Featuring Lil Wayne,Down,2,2009-10-01,3,12
Taylor Swift,You Belong With Me,2,2009-10-01,4,22
Jay,Empire State Of Mind,5,2009-10-01,5,2
Miley Cyrus,Party In The U.S.A.,2,2009-10-01,6,6
Lady Gaga,Paparazzi,7,2009-10-01,7,4
"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,,2009-10-01,8,
Kings Of Leon,Use Somebody,4,2009-10-01,9,34
Jason Derulo,Whatcha Say,7,2009-10-01,10,6
Mariah Carey,Obsessed,7,2009-10-01,11,11
Pitbull,Hotel Room Service,8,2009-10-01,12,14
Shakira,She Wolf,11,2009-10-01,13,10
Drake,Best I Ever Had,2,2009-10-01,14,20
Keri Hilson Featuring Kanye West & Ne,Knock You Down,3,2009-10-01,15,26
Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,7,2009-10-01,16,17
Drake Featuring Trey Songz & Lil Wayne,Successful,17,2009-10-01,17,10
Beyonce,Sweet Dreams,18,2009-10-01,18,9
Fabolous Featuring The,Throw It In The Bag,14,2009-10-01,19,16
Mario Featuring Gucci Mane & Sean Garrett,Break Up,14,2009-10-01,20,14
Jordin Sparks,Battlefield,10,2009-10-01,21,19
Green Day,21 Guns,22,2009-10-01,22,13
Flo Rida Featuring Ne,Be On You,19,2009-10-01,23,10
Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey,21,2009-10-01,24,9
Jason Aldean,Big Green Tractor,18,2009-10-01,25,15
The Black Eyed Peas,Boom Boom Pow,1,2009-10-01,26,28
Justin Bieber,One Time,27,2009-10-01,27,9
Pitbull,I Know You Want Me,2,2009-10-01,28,30
Boys Like Girls,Love Drunk,22,2009-10-01,29,12
Daughtry,No Surprise,15,2009-10-01,30,20
Kelly Clarkson,Already Gone,31,2009-10-01,31,8
Zac Brown Band,Toes,31,2009-10-01,32,9
Katy Perry,Waking Up In Vegas,9,2009-10-01,33,21
The Fray,Never Say Never,32,2009-10-01,34,15
Colbie Caillat,Fallin' For You,12,2009-10-01,35,12
P!nk,Please Don't Leave Me,17,2009-10-01,36,23
Muse,Uprising,37,2009-10-01,37,2
Maxwell,Pretty Wings,33,2009-10-01,38,21
Toby Keith,American Ride,36,2009-10-01,39,8
Drake Featuring Lil Wayne & Young Jeezy,I'm Going In,,2009-10-01,40,
Jay,Young Forever,41,2009-10-01,41,2
Sean Kingston,Fire Burning,5,2009-10-01,42,20
Lady Gaga,Poker Face,1,2009-10-01,43,40
Dorrough,Ice Cream Paint Job,27,2009-10-01,44,17
Keith Urban,Only You Can Love Me This Way,43,2009-10-01,45,10
Owl City,Fireflies,46,2009-10-01,46,5
Cascada,Evacuate The Dancefloor,39,2009-10-01,47,6
Uncle Kracker,Smile,47,2009-10-01,48,7
Jason Mraz,I'm Yours,6,2009-10-01,49,75
Leona Lewis,Happy,,2009-10-01,50,
Lady Antebellum,Need You Now,51,2009-10-01,51,6
Chris Young,Gettin' You Home,52,2009-10-01,52,6
Justin Moore,Small Town USA,44,2009-10-01,53,16
Gucci Mane Featuring Plies Or OJ Da Juiceman,Wasted,52,2009-10-01,54,3
David Guetta Featuring Akon,Sexy Chick,55,2009-10-01,55,7
Linkin Park,New Divide,6,2009-10-01,56,18
Rob Thomas,Her Diamonds,23,2009-10-01,57,18
Jeremih,Imma Star,51,2009-10-01,58,9
Kid Cudi Featuring MGMT & Ratatat,Pursuit Of Happiness,,2009-10-01,59,
George Strait,Living For The Night,53,2009-10-01,60,15
LMFAO,La La La,,2009-10-01,61,
),LOL :,51,2009-10-01,62,3
Ester Dean Featuring Chris Brown,Drop It Low,63,2009-10-01,63,2
Kenny Chesney With Dave Matthews,I'm Alive,64,2009-10-01,64,5
Brad Paisley,Welcome To The Future,65,2009-10-01,65,7
Mariah Carey,I Want To Know What Love Is,,2009-10-01,66,
Breaking Benjamin,I Will Not Bow,40,2009-10-01,67,3
Iyaz,Replay,66,2009-10-01,68,5
New Boyz,You're A Jerk,24,2009-10-01,69,14
Luke Bryan,Do I,70,2009-10-01,70,3
Darius Rucker,Alright,30,2009-10-01,71,19
Eric Church,Love Your Love The Most,63,2009-10-01,72,13
Mary J. Blige Featuring Drake,The One,63,2009-10-01,73,9
"Mary Mary Featuring Kierra ""KiKi"" Sheard",God In Me,74,2009-10-01,74,12
The Black Eyed Peas,Meet Me Halfway,,2009-10-01,75,
Pearl Jam,The Fixer,56,2009-10-01,76,4
Beyonce,Ego,39,2009-10-01,77,16
Blake Shelton,I'll Just Hold On,76,2009-10-01,78,12
Young Money,Every Girl,10,2009-10-01,79,20
Randy Houser,Boots On,53,2009-10-01,80,17
LMFAO,I'm In Miami Trick,51,2009-10-01,81,17
Rascal Flatts,Summer Nights,37,2009-10-01,82,17
Whitney Houston,I Look To You,70,2009-10-01,83,6
Pleasure P,Under,81,2009-10-01,84,4
3OH!3 Featuring Katy Perry,Starstrukk,80,2009-10-01,85,5
R. Kelly Featuring Keri Hilson,Number One,85,2009-10-01,86,4
Love And Theft,Runaway,65,2009-10-01,87,4
Three Days Grace,Break,88,2009-10-01,88,2
Keyshia Cole Duet With Monica,Trust,70,2009-10-01,89,13
Bon Jovi,We Weren't Born To Follow,,2009-10-01,90,
Darryl Worley,Sounds Like Life To Me,87,2009-10-01,91,8
Selena Gomez & The Scene,Falling Down,92,2009-10-01,92,4
Kid Cudi Featuring Kanye West & Common,Make Her Say,43,2009-10-01,93,15
Taylor Swift,Fifteen,65,2009-10-01,94,3
The All,I Wanna,,2009-10-01,95,
Carrie Underwood,Cowboy Casanova,,2009-10-01,96,
David Cook,Come Back To Me,63,2009-10-01,97,19
Ginuwine,Last Chance,63,2009-10-01,98,16
Alice In Chains,Check My Brain,,2009-10-01,99,
Mat Kearney,Closer To Love,91,2009-10-01,100,7
The Black Eyed Peas,I Gotta Feeling,1,2009-09-24,1,4
Miley Cyrus,Party In The U.S.A.,2,2009-09-24,3,5
Jay,Run This Town,3,2009-09-24,4,7
Kings Of Leon,Use Somebody,4,2009-09-24,5,33
Taylor Swift,You Belong With Me,2,2009-09-24,6,21
Jason Derulo,Whatcha Say,7,2009-09-24,7,5
Mariah Carey,Obsessed,7,2009-09-24,8,10
Pitbull,Hotel Room Service,8,2009-09-24,9,13
Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,7,2009-09-24,10,16
Shakira,She Wolf,11,2009-09-24,11,9
Keri Hilson Featuring Kanye West & Ne,Knock You Down,3,2009-09-24,12,25
Drake,Best I Ever Had,2,2009-09-24,13,19
Fabolous Featuring The,Throw It In The Bag,14,2009-09-24,14,15
The Black Eyed Peas,Boom Boom Pow,1,2009-09-24,15,27
Jordin Sparks,Battlefield,10,2009-09-24,16,18
Mario Featuring Gucci Mane & Sean Garrett,Break Up,14,2009-09-24,17,13
Lady Gaga,Paparazzi,18,2009-09-24,18,3
Flo Rida Featuring Ne,Be On You,19,2009-09-24,19,9
Jason Aldean,Big Green Tractor,18,2009-09-24,20,14
Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey,21,2009-09-24,21,8
Boys Like Girls,Love Drunk,22,2009-09-24,22,11
Colbie Caillat,Fallin' For You,12,2009-09-24,23,11
Daughtry,No Surprise,15,2009-09-24,24,19
Pitbull,I Know You Want Me,2,2009-09-24,25,29
Green Day,21 Guns,24,2009-09-24,26,12
Katy Perry,Waking Up In Vegas,9,2009-09-24,27,20
Sean Kingston,Fire Burning,5,2009-09-24,28,19
Justin Bieber,One Time,29,2009-09-24,29,8
Dorrough,Ice Cream Paint Job,27,2009-09-24,30,16
Zac Brown Band,Toes,31,2009-09-24,31,8
The Fray,Never Say Never,32,2009-09-24,32,14
Beyonce,Sweet Dreams,33,2009-09-24,33,8
Maxwell,Pretty Wings,33,2009-09-24,34,20
Kelly Clarkson,Already Gone,35,2009-09-24,35,7
Toby Keith,American Ride,36,2009-09-24,36,7
P!nk,Please Don't Leave Me,17,2009-09-24,37,22
Jason Mraz,I'm Yours,6,2009-09-24,38,74
Cascada,Evacuate The Dancefloor,39,2009-09-24,39,5
Linkin Park,New Divide,6,2009-09-24,40,17
Rob Thomas,Her Diamonds,23,2009-09-24,41,17
Lady Gaga,LoveGame,5,2009-09-24,42,22
Keith Urban,Only You Can Love Me This Way,43,2009-09-24,43,9
Justin Moore,Small Town USA,44,2009-09-24,44,15
Miley Cyrus,The Climb,4,2009-09-24,45,28
Glee Cast,Take A Bow,,2009-09-24,46,
Uncle Kracker,Smile,47,2009-09-24,47,6
Drake Featuring Trey Songz & Lil Wayne,Successful,48,2009-09-24,48,9
Lady Gaga,Poker Face,1,2009-09-24,49,39
Jay,Empire State Of Mind,,2009-09-24,50,
Jeremih,Imma Star,51,2009-09-24,51,8
Gucci Mane Featuring Plies Or OJ Da Juiceman,Wasted,52,2009-09-24,52,2
George Strait,Living For The Night,53,2009-09-24,53,14
New Boyz,You're A Jerk,24,2009-09-24,54,13
Chris Young,Gettin' You Home,55,2009-09-24,55,5
),LOL :,51,2009-09-24,56,2
Breaking Benjamin,I Will Not Bow,40,2009-09-24,57,2
Owl City,Fireflies,58,2009-09-24,58,4
Lady Antebellum,Need You Now,59,2009-09-24,59,5
David Guetta Featuring Akon,Sexy Chick,56,2009-09-24,60,6
Darius Rucker,Alright,30,2009-09-24,61,18
Rascal Flatts,Summer Nights,37,2009-09-24,62,16
Billy Currington,People Are Crazy,27,2009-09-24,63,20
Young Money,Every Girl,10,2009-09-24,64,19
Kenny Chesney With Dave Matthews,I'm Alive,65,2009-09-24,65,4
Iyaz,Replay,66,2009-09-24,66,4
Brad Paisley,Welcome To The Future,67,2009-09-24,67,6
Kid Cudi Featuring Kanye West & Common,Make Her Say,43,2009-09-24,68,14
Randy Houser,Boots On,53,2009-09-24,69,16
Mary J. Blige Featuring Drake,The One,63,2009-09-24,70,8
Eric Church,Love Your Love The Most,63,2009-09-24,71,12
Beyonce,Ego,39,2009-09-24,72,15
LMFAO,I'm In Miami Trick,51,2009-09-24,73,16
"Mary Mary Featuring Kierra ""KiKi"" Sheard",God In Me,74,2009-09-24,74,11
Jay,Young Forever,,2009-09-24,75,
Luke Bryan,Do I,76,2009-09-24,76,2
Blake Shelton,I'll Just Hold On,76,2009-09-24,77,11
Glee Cast,Don't Stop Believin',4,2009-09-24,78,4
Love And Theft,Runaway,65,2009-09-24,79,3
3OH!3 Featuring Katy Perry,Starstrukk,80,2009-09-24,80,4
Pleasure P,Under,81,2009-09-24,81,3
Jack Ingram,Barefoot And Crazy,64,2009-09-24,82,12
Disney's Friends For Change,Send It On,20,2009-09-24,83,5
Pearl Jam,The Fixer,56,2009-09-24,84,3
R. Kelly Featuring Keri Hilson,Number One,85,2009-09-24,85,3
Keyshia Cole Duet With Monica,Trust,70,2009-09-24,86,12
Ginuwine,Last Chance,63,2009-09-24,87,15
Whitney Houston,I Look To You,70,2009-09-24,88,5
Parachute,She Is Love,66,2009-09-24,89,7
Darryl Worley,Sounds Like Life To Me,87,2009-09-24,90,7
Three Days Grace,Break,,2009-09-24,91,
Boys Like Girls Featuring Taylor Swift,Two Is Better Than One,,2009-09-24,92,
Sean Kingston,Face Drop,93,2009-09-24,93,2
Ester Dean Featuring Chris Brown,Drop It Low,,2009-09-24,94,
Three 6 Mafia Featuring Kalenna,Shake My,75,2009-09-24,95,3
Selena Gomez & The Scene,Falling Down,93,2009-09-24,96,3
David Cook,Come Back To Me,63,2009-09-24,97,18
Twista Featuring Erika Shevon,Wetter,44,2009-09-24,98,16
Sugarland,Joey,89,2009-09-24,99,3
Tim McGraw,It's A Business Doing Pleasure With You,59,2009-09-24,100,7
The Black Eyed Peas,I Gotta Feeling,1,2009-09-17,1,3
Miley Cyrus,Party In The U.S.A.,2,2009-09-17,3,4
Jay,Run This Town,3,2009-09-17,4,6
Kings Of Leon,Use Somebody,4,2009-09-17,5,32
Taylor Swift,You Belong With Me,2,2009-09-17,6,20
Mariah Carey,Obsessed,7,2009-09-17,7,9
Pitbull,Hotel Room Service,8,2009-09-17,8,12
Jason Derulo,Whatcha Say,9,2009-09-17,9,4
Drake,Best I Ever Had,2,2009-09-17,10,18
Keri Hilson Featuring Kanye West & Ne,Knock You Down,3,2009-09-17,11,24
Shakira,She Wolf,12,2009-09-17,12,8
Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,7,2009-09-17,13,15
Mario Featuring Gucci Mane & Sean Garrett,Break Up,14,2009-09-17,14,12
Colbie Caillat,Fallin' For You,12,2009-09-17,15,10
Jordin Sparks,Battlefield,10,2009-09-17,16,17
Fabolous Featuring The,Throw It In The Bag,17,2009-09-17,17,14
Jason Aldean,Big Green Tractor,18,2009-09-17,18,13
The Black Eyed Peas,Boom Boom Pow,1,2009-09-17,19,26
Katy Perry,Waking Up In Vegas,9,2009-09-17,20,19
Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey,21,2009-09-17,21,7
Daughtry,No Surprise,15,2009-09-17,22,18
Sean Kingston,Fire Burning,5,2009-09-17,23,18
Flo Rida Featuring Ne,Be On You,24,2009-09-17,24,8
Pitbull,I Know You Want Me,2,2009-09-17,25,28
Boys Like Girls,Love Drunk,22,2009-09-17,26,10
Dorrough,Ice Cream Paint Job,27,2009-09-17,27,15
Green Day,21 Guns,24,2009-09-17,28,11
Justin Bieber,One Time,29,2009-09-17,29,7
Jason Mraz,I'm Yours,6,2009-09-17,30,73
Zac Brown Band,Toes,31,2009-09-17,31,7
Lady Gaga,LoveGame,5,2009-09-17,32,21
P!nk,Please Don't Leave Me,17,2009-09-17,33,21
Maxwell,Pretty Wings,33,2009-09-17,34,19
The Fray,Never Say Never,35,2009-09-17,35,13
Rob Thomas,Her Diamonds,23,2009-09-17,36,16
Linkin Park,New Divide,6,2009-09-17,37,16
Toby Keith,American Ride,38,2009-09-17,38,6
Beyonce,Sweet Dreams,39,2009-09-17,39,7
Breaking Benjamin,I Will Not Bow,,2009-09-17,40,
Cascada,Evacuate The Dancefloor,41,2009-09-17,41,4
Miley Cyrus,The Climb,4,2009-09-17,42,27
Kelly Clarkson,Already Gone,43,2009-09-17,43,6
Lady Gaga,Paparazzi,44,2009-09-17,44,2
Rascal Flatts,Summer Nights,37,2009-09-17,45,15
Justin Moore,Small Town USA,46,2009-09-17,46,14
Keith Urban,Only You Can Love Me This Way,47,2009-09-17,47,8
Shinedown,Second Chance,7,2009-09-17,48,41
Lady Gaga,Poker Face,1,2009-09-17,49,38
Young Money,Every Girl,10,2009-09-17,50,18
),LOL :,,2009-09-17,51,
Darius Rucker,Alright,30,2009-09-17,52,17
Drake Featuring Trey Songz & Lil Wayne,Successful,53,2009-09-17,53,8
New Boyz,You're A Jerk,24,2009-09-17,54,12
Billy Currington,People Are Crazy,27,2009-09-17,55,19
Jeremih,Imma Star,55,2009-09-17,56,7
George Strait,Living For The Night,57,2009-09-17,57,13
Randy Houser,Boots On,53,2009-09-17,58,15
Kid Cudi Featuring Kanye West & Common,Make Her Say,43,2009-09-17,59,13
Uncle Kracker,Smile,60,2009-09-17,60,5
Chris Young,Gettin' You Home,61,2009-09-17,61,4
LMFAO,I'm In Miami Trick,51,2009-09-17,62,15
Disney's Friends For Change,Send It On,20,2009-09-17,63,4
Eric Church,Love Your Love The Most,63,2009-09-17,64,11
Michael Buble,Haven't Met You Yet,,2009-09-17,65,
Beyonce,Ego,39,2009-09-17,66,14
Jack Ingram,Barefoot And Crazy,64,2009-09-17,67,11
Love And Theft,Runaway,65,2009-09-17,68,2
Brad Paisley,Welcome To The Future,69,2009-09-17,69,5
Whitney Houston,I Look To You,70,2009-09-17,70,4
David Guetta Featuring Akon,Sexy Chick,56,2009-09-17,71,5
Lady Antebellum,Need You Now,72,2009-09-17,72,4
Kenny Chesney With Dave Matthews,I'm Alive,73,2009-09-17,73,3
Mary J. Blige Featuring Drake,The One,63,2009-09-17,74,7
Three 6 Mafia Featuring Kalenna,Shake My,75,2009-09-17,75,2
"Mary Mary Featuring Kierra ""KiKi"" Sheard",God In Me,75,2009-09-17,76,10
Iyaz,Replay,77,2009-09-17,77,3
Blake Shelton,I'll Just Hold On,76,2009-09-17,78,10
Parachute,She Is Love,66,2009-09-17,79,6
Tim McGraw,It's A Business Doing Pleasure With You,59,2009-09-17,80,6
Twista Featuring Erika Shevon,Wetter,44,2009-09-17,81,15
Owl City,Fireflies,82,2009-09-17,82,3
Ginuwine,Last Chance,63,2009-09-17,83,14
Jesse McCartney Featuring T,Body Language,,2009-09-17,84,
Pearl Jam,The Fixer,56,2009-09-17,85,2
Luke Bryan,Do I,,2009-09-17,86,
Pleasure P,Under,87,2009-09-17,87,2
R. Kelly Featuring Keri Hilson,Number One,88,2009-09-17,88,2
Sugarland,Joey,89,2009-09-17,89,2
Keyshia Cole Duet With Monica,Trust,70,2009-09-17,90,11
David Cook,Come Back To Me,63,2009-09-17,91,17
Darryl Worley,Sounds Like Life To Me,87,2009-09-17,92,6
Gloriana,Wild At Heart,53,2009-09-17,93,15
3OH!3 Featuring Katy Perry,Starstrukk,88,2009-09-17,94,3
Gucci Mane Featuring Plies Or OJ Da Juiceman,Wasted,,2009-09-17,95,
Trey Songz,I Need A Girl,59,2009-09-17,96,16
Selena Gomez & The Scene,Falling Down,93,2009-09-17,97,2
Sean Kingston,Face Drop,,2009-09-17,98,
Mat Kearney,Closer To Love,91,2009-09-17,99,6
Whitney Houston,Million Dollar Bill,,2009-09-17,100,
The Black Eyed Peas,I Gotta Feeling,1,2009-09-10,1,2
Miley Cyrus,Party In The U.S.A.,2,2009-09-10,3,3
Kings Of Leon,Use Somebody,4,2009-09-10,4,31
Taylor Swift,You Belong With Me,2,2009-09-10,5,19
Jay,Run This Town,3,2009-09-10,6,5
Drake,Best I Ever Had,2,2009-09-10,7,17
Keri Hilson Featuring Kanye West & Ne,Knock You Down,3,2009-09-10,8,23
Pitbull,Hotel Room Service,9,2009-09-10,9,11
Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,7,2009-09-10,10,14
Mariah Carey,Obsessed,11,2009-09-10,11,8
Shakira,She Wolf,12,2009-09-10,12,7
Jason Derulo,Whatcha Say,13,2009-09-10,13,3
Jordin Sparks,Battlefield,10,2009-09-10,14,16
Mario Featuring Gucci Mane & Sean Garrett,Break Up,15,2009-09-10,15,11
Katy Perry,Waking Up In Vegas,9,2009-09-10,16,18
The Black Eyed Peas,Boom Boom Pow,1,2009-09-10,17,25
Colbie Caillat,Fallin' For You,12,2009-09-10,18,9
Sean Kingston,Fire Burning,5,2009-09-10,19,17
Fabolous Featuring The,Throw It In The Bag,20,2009-09-10,20,13
Jason Aldean,Big Green Tractor,20,2009-09-10,21,12
Daughtry,No Surprise,15,2009-09-10,22,17
Pitbull,I Know You Want Me,2,2009-09-10,23,27
Lady Gaga,LoveGame,5,2009-09-10,24,20
Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey,25,2009-09-10,25,6
Boys Like Girls,Love Drunk,22,2009-09-10,26,9
Flo Rida Featuring Ne,Be On You,27,2009-09-10,27,7
Dorrough,Ice Cream Paint Job,28,2009-09-10,28,14
Green Day,21 Guns,24,2009-09-10,29,10
Linkin Park,New Divide,6,2009-09-10,30,15
P!nk,Please Don't Leave Me,17,2009-09-10,31,20
Justin Bieber,One Time,32,2009-09-10,32,6
Rob Thomas,Her Diamonds,23,2009-09-10,33,15
Maxwell,Pretty Wings,33,2009-09-10,34,18
Jason Mraz,I'm Yours,6,2009-09-10,35,72
Miley Cyrus,The Climb,4,2009-09-10,36,26
Young Money,Every Girl,10,2009-09-10,37,17
The Fray,Never Say Never,38,2009-09-10,38,12
Rascal Flatts,Summer Nights,37,2009-09-10,39,14
Zac Brown Band,Toes,40,2009-09-10,40,6
Lady Gaga,Poker Face,1,2009-09-10,41,37
Shinedown,Second Chance,7,2009-09-10,42,40
Disney's Friends For Change,Send It On,20,2009-09-10,43,3
Toby Keith,American Ride,44,2009-09-10,44,5
Darius Rucker,Alright,30,2009-09-10,45,16
Beyonce,Sweet Dreams,46,2009-09-10,46,6
Cascada,Evacuate The Dancefloor,47,2009-09-10,47,3
Billy Currington,People Are Crazy,27,2009-09-10,48,18
New Boyz,You're A Jerk,24,2009-09-10,49,11
Justin Moore,Small Town USA,50,2009-09-10,50,13
Kid Cudi Featuring Kanye West & Common,Make Her Say,43,2009-09-10,51,12
Keith Urban,Only You Can Love Me This Way,52,2009-09-10,52,7
Randy Houser,Boots On,53,2009-09-10,53,14
Drake Featuring Trey Songz & Lil Wayne,Successful,54,2009-09-10,54,7
Jeremih,Imma Star,55,2009-09-10,55,6
Pearl Jam,The Fixer,,2009-09-10,56,
Kelly Clarkson,Already Gone,57,2009-09-10,57,5
George Strait,Living For The Night,58,2009-09-10,58,12
LMFAO,I'm In Miami Trick,51,2009-09-10,59,14
Beyonce,Ego,39,2009-09-10,60,13
Twista Featuring Erika Shevon,Wetter,44,2009-09-10,61,14
Uncle Kracker,Smile,62,2009-09-10,62,4
Eric Church,Love Your Love The Most,63,2009-09-10,63,10
Jack Ingram,Barefoot And Crazy,64,2009-09-10,64,10
Love And Theft,Runaway,,2009-09-10,65,
Parachute,She Is Love,66,2009-09-10,66,5
Chris Young,Gettin' You Home,67,2009-09-10,67,3
Theory Of A Deadman,Not Meant To Be,55,2009-09-10,68,21
Tim McGraw,It's A Business Doing Pleasure With You,59,2009-09-10,69,5
Sean Paul,So Fine,50,2009-09-10,70,9
Brad Paisley,Welcome To The Future,71,2009-09-10,71,4
Gloriana,Wild At Heart,53,2009-09-10,72,14
Creed,Overcome,,2009-09-10,73,
Lady Gaga,Paparazzi,,2009-09-10,74,
"Mary Mary Featuring Kierra ""KiKi"" Sheard",God In Me,75,2009-09-10,75,9
Ginuwine,Last Chance,63,2009-09-10,76,13
Keyshia Cole Duet With Monica,Trust,70,2009-09-10,77,10
Blake Shelton,I'll Just Hold On,76,2009-09-10,78,9
David Guetta Featuring Akon,Sexy Chick,56,2009-09-10,79,4
Iyaz,Replay,80,2009-09-10,80,2
Kenny Chesney With Dave Matthews,I'm Alive,81,2009-09-10,81,2
